"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210801 ~ 20210831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 송파구 잠실동","22","0022","0000","리센츠","59.99","202108","10","198,000","21","2008","올림픽로 135",""
"서울특별시 송파구 잠실동","22","0022","0000","리센츠","84.99","202108","10","240,000","4","2008","올림픽로 135",""
"서울특별시 송파구 잠실동","22","0022","0000","리센츠","27.68","202108","18","96,500","26","2008","올림픽로 135",""
"서울특별시 송파구 잠실동","22","0022","0000","리센츠","27.68","202108","18","111,500","29","2008","올림픽로 135",""
"서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","59.96","202108","6","187,000","24","2008","올림픽로 99",""
"서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","84.8","202108","13","235,000","6","2008","올림픽로 99",""
"서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","59.96","202108","13","195,000","22","2008","올림픽로 99",""
"서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5","202108","10","242,000","1","1978","송파대로 567",""
"서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5","202108","18","258,000","4","1978","송파대로 567",""
"서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5","202108","30","250,000","15","1978","송파대로 567",""
"서울특별시 송파구 장지동","833","0833","0000","송파파인타운1단지","84.95","202108","10","130,000","5","2010","충민로 188",""
"서울특별시 송파구 장지동","835","0835","0000","송파파인타운2단지","84.94","202108","17","143,000","8","2008","충민로 151",""
"서울특별시 송파구 장지동","845","0845","0000","송파파인타운5단지","84.95","202108","7","155,000","12","2008","충민로4길 5",""
"서울특별시 송파구 장지동","847","0847","0000","송파파인타운6단지","84.98","202108","13","150,000","13","2008","충민로6길 14",""
"서울특별시 송파구 장지동","842","0842","0000","송파파인타운8단지","59.97","202108","3","135,000","9","2008","충민로4길 6",""
"서울특별시 송파구 장지동","842","0842","0000","송파파인타운8단지","59.97","202108","11","136,000","6","2008","충민로4길 6",""
"서울특별시 송파구 장지동","843","0843","0000","송파파인타운9단지","59.95","202108","6","134,000","4","2007","송파대로8길 17",""
"서울특별시 송파구 장지동","879","0879","0000","위례22단지(비발디)","51.77","202108","7","111,300","12","2013","위례광장로 163",""
"서울특별시 송파구 장지동","879","0879","0000","위례22단지(비발디)","51.77","202108","18","114,500","10","2013","위례광장로 163",""
"서울특별시 송파구 장지동","879","0879","0000","위례22단지(비발디)","59.85","202108","22","138,000","21","2013","위례광장로 163",""
"서울특별시 송파구 장지동","901","0901","0000","위례24단지(꿈에그린)","51.82","202108","8","121,000","8","2013","위례광장로 121",""
"서울특별시 송파구 장지동","894","0894","0000","위례아이파크","108.8004","202108","7","200,000","11","2015","위례광장로 136",""
"서울특별시 송파구 풍납동","506","0506","0000","동아한가람1","84.38","202108","6","143,000","9","1995","한가람로 448",""
"서울특별시 송파구 풍납동","506","0506","0000","동아한가람1","84.38","202108","7","143,000","17","1995","한가람로 448",""
"서울특별시 송파구 풍납동","506","0506","0000","동아한가람1","84.38","202108","12","130,000","10","1995","한가람로 448",""
"서울특별시 송파구 풍납동","220-2","0220","0002","신동아파밀리에","84.63","202108","1","97,500","6","1993","풍성로6길 15",""
"서울특별시 송파구 풍납동","220-2","0220","0002","신동아파밀리에","59.36","202108","1","85,900","8","1993","풍성로6길 15",""
"서울특별시 송파구 풍납동","510","0510","0000","신성노바빌아파트","59.78","202108","16","98,500","15","2000","한가람로 468",""
"서울특별시 송파구 풍납동","401-1","0401","0001","쌍용","84.85","202108","11","143,000","15","1994","올림픽로47길 12",""
"서울특별시 송파구 풍납동","508","0508","0000","한강극동","84.76","202108","25","111,000","11","1995","토성로 38-6",""
"서울특별시 송파구 풍납동","260","0260","0000","현대리버빌1지구","43.2","202108","7","71,500","1","1999","토성로 37",""
