구   분,금 년(2020-09-21 2020-09-30),전 년(2019-09-21 2019-09-30),평 년(09-21 09-30),전년대비(09-21 09-30),평년대비(09-21 09-30),금 년(2020-01-01 2020-09-30),전 년(2019-01-01 2019-09-30),평 년(01-01 09-30),전년대비(01-01 09-30),평년대비(01-01 09-30)
평균기온(℃),19.8,25,22.9,-5.3,-3.2,16,15.9,14.3,0.1,1.7
최고기온(℃),27.3,28.5,28,-1.3,-0.7,20.9,21,19.9,-0.1,1
최저기온(℃),20.4,22,18.8,-1.6,1.6,11.8,11.3,9.4,0.5,2.4
강 수 량(mm),147.6,69.6,54.7,78,92.9,1307.3,647.4,1116.7,659.9,190.6
일조시수(시간),15.6,18.6,55,-3,-39.4,1731.4,1873.4,1702.5,-142,28.9
