"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20220531"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202205","27","216,000","2","1987","언주로 3","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","136.06","202205","2","420,000","17","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202205","12","203,500","5","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202205","26","210,000","6","2020","개포로 264","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.8732","202205","11","238,000","28","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.7479","202205","14","227,000","3","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202205","27","228,500","22","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","39.035","202205","27","54,000","7","1996","강남대로112길 41","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","30.215","202205","30","40,000","11","1996","강남대로112길 41","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","205-2","0205","0002","논현동한화꿈에그린","67.671","202205","26","85,600","2","2005","논현로111길 39","","직거래","-"
"서울특별시 강남구 논현동","118-8","0118","0008","더원센트럴","26.96","202205","18","49,500","5","2018","학동로53길 3-8","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","157.41","202205","24","303,000","4","2004","언주로130길 30","","직거래","-"
"서울특별시 강남구 논현동","114-23","0114","0023","로체샤르캐슬","106.59","202205","23","139,000","4","2009","언주로136길 16","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202205","26","95,000","3","1997","강남대로146길 28","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","113.087","202205","23","320,000","20","2014","언주로 604","","중개거래","서울 강남구, 서울 용산구"
"서울특별시 강남구 논현동","107-44","0107","0044","우민","74.758","202205","19","135,000","4","2002","언주로136길 21","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","107-44","0107","0044","우민","74.758","202205","19","123,000","2","2002","언주로136길 21","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","221-7","0221","0007","한양수자인어반게이트","16.2","202205","27","21,200","3","2013","봉은사로29길 35","","직거래","-"
"서울특별시 강남구 논현동","105-4","0105","0004","한진로즈힐","84.94","202205","24","172,500","2","2004","도산대로46길 21","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","84.81","202205","20","323,000","14","1983","선릉로 120","20220703","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.796","202205","13","33,500","7","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","33.06","202205","4","34,000","11","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","34.2","202205","23","30,000","10","2004","선릉로90길 56","","직거래","-"
"서울특별시 강남구 대치동","891-28","0891","0028","대치동우정에쉐르1","59.75","202205","20","80,000","5","2004","삼성로85길 38","","직거래","-"
"서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","91.93","202205","26","328,000","35","2015","삼성로51길 35","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌(890-49)","20.37","202205","2","19,000","11","2004","테헤란로64길 9","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","889-74","0889","0074","아름빌(889-74)","30.46","202205","13","29,500","8","2003","선릉로86길 11","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","889-74","0889","0074","아름빌(889-74)","30.46","202205","25","29,000","8","2003","선릉로86길 11","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202205","11","250,000","6","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202205","20","277,000","13","1979","삼성로 212","","중개거래","경기 성남분당구, 서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202205","25","250,000","2","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202205","31","254,000","8","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202205","14","39,500","20","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","59.83","202205","28","91,500","15","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션1","128.01","202205","12","383,500","12","1983","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","190.47","202205","9","507,500","8","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","190-3","0190","0003","그랜빌캐슬","125.83","202205","17","208,000","1","2003","남부순환로379길 35","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","146.754","202205","28","285,000","5","1999","언주로30길 13","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","970","0970","0000","도곡3차아이파크","187.215","202205","11","300,000","1","2007","도곡로14길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","84.9984","202205","11","313,000","3","2006","선릉로 221","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","134.9023","202205","25","494,000","18","2006","선릉로 221","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","107.53","202205","5","224,000","3","1978","남부순환로363길 30","","중개거래","서울 강남구, 서울 마포구"
"서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","207.52","202205","13","260,000","7","1978","남부순환로363길 30","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","84.83","202205","12","225,000","11","1986","남부순환로363길 49","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","106.78","202205","5","355,000","7","2016","도곡로 320","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","106.78","202205","17","370,000","15","2016","도곡로 320","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","106.78","202205","18","360,000","17","2016","도곡로 320","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","84.97","202205","6","235,500","7","1995","논현로 213","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","124.66","202205","19","260,000","1","1995","논현로 213","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","869","0869","0000","삼익","104.01","202205","31","215,000","5","1983","논현로 218","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","164.87","202205","27","235,000","15","2004","언주로30길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","463-1","0463","0001","우성사원5","70.89","202205","14","230,000","4","1986","언주로29길 34","","중개거래","서울 강남구"
